File,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
F:\workspace-ggts-3.6.4.RELEASE\MoneytorBeta\target\work\plugins\cache-1.1.8\src\java\grails\plugin\cache\web\filter\LazyParamAwareEvaluationContext.java,110,63,48,11,15,0,32,192,14,94
F:\workspace-ggts-3.6.4.RELEASE\MoneytorBeta\target\work\plugins\cache-1.1.8\src\java\grails\plugin\cache\web\filter\NoOpFilter.java,40,14,12,0,6,0,20,109,14,94
F:\workspace-ggts-3.6.4.RELEASE\MoneytorBeta\target\work\plugins\cache-1.1.8\src\java\grails\plugin\cache\web\filter\PageFragmentCachingFilter.java,890,640,464,115,122,1,128,788,14,94
F:\workspace-ggts-3.6.4.RELEASE\MoneytorBeta\target\work\plugins\cache-1.1.8\src\java\grails\plugin\cache\web\filter\WebKeyGenerator.java,27,5,4,0,3,0,19,107,14,94
F:\workspace-ggts-3.6.4.RELEASE\MoneytorBeta\target\work\plugins\cache-1.1.8\src\java\grails\plugin\cache\web\filter\simple\MemoryBlockingCache.java,56,23,17,3,11,0,22,118,14,94
F:\workspace-ggts-3.6.4.RELEASE\MoneytorBeta\target\work\plugins\cache-1.1.8\src\java\grails\plugin\cache\web\filter\simple\MemoryCacheConfiguration.java,34,10,7,2,5,0,19,106,14,94
F:\workspace-ggts-3.6.4.RELEASE\MoneytorBeta\target\work\plugins\cache-1.1.8\src\java\grails\plugin\cache\web\filter\simple\MemoryPageFragmentCachingFilter.java,63,20,13,2,9,0,34,150,14,94
F:\workspace-ggts-3.6.4.RELEASE\MoneytorBeta\target\work\plugins\scaffolding-2.1.2\src\java\org\codehaus\groovy\grails\scaffolding\AbstractGrailsTemplateGenerator.java,414,333,245,39,63,0,18,119,15,95
F:\workspace-ggts-3.6.4.RELEASE\MoneytorBeta\target\work\plugins\scaffolding-2.1.2\src\java\org\codehaus\groovy\grails\scaffolding\DomainClassPropertyComparator.java,84,46,34,15,16,0,22,129,15,95
F:\workspace-ggts-3.6.4.RELEASE\MoneytorBeta\target\work\plugins\scaffolding-2.1.2\src\java\org\codehaus\groovy\grails\scaffolding\GrailsTemplateGenerator.java,125,19,18,0,16,0,90,481,15,95
F:\workspace-ggts-3.6.4.RELEASE\MoneytorBeta\target\work\plugins\scaffolding-2.1.2\src\java\org\codehaus\groovy\grails\scaffolding\SimpleDomainClassPropertyComparator.java,48,21,15,5,7,0,20,109,15,95
F:\workspace-ggts-3.6.4.RELEASE\MoneytorBeta\target\work\plugins\scaffolding-2.1.2\src\java\org\codehaus\groovy\grails\scaffolding\view\ScaffoldedGroovyPageView.java,86,42,31,3,11,0,33,170,15,95
F:\workspace-ggts-3.6.4.RELEASE\MoneytorBeta\target\work\plugins\scaffolding-2.1.2\src\java\org\codehaus\groovy\grails\scaffolding\view\ScaffoldingViewResolver.java,124,84,67,10,16,0,24,126,15,95
F:\workspace-ggts-3.6.4.RELEASE\MoneytorBeta\target\work\plugins\tomcat-7.0.55\src\java\org\grails\plugins\tomcat\ParentDelegatingClassLoader.java,63,36,26,7,6,0,21,113,15,95
F:\workspace-ggts-3.6.4.RELEASE\MoneytorBeta\target\work\plugins\tomcat-7.0.55\src\java\org\grails\plugins\tomcat\TomcatKillSwitch.java,61,44,35,4,10,0,7,30,0,0
